Permalink,full_text,text,tokenized_text,nouns,nouns_adj,gensim_topics_14,gensim_topics_8,nouns_cv,nouns_adj_cv,sklearn_topics
1462379490609461,I’ve never seen this much unrest in the states. Anyone else?,never seen much unrest states anyone else,"['never', 'seen', 'much', 'unrest', 'states', 'anyone', 'else']","['states', 'anyone']","['much', 'unrest', 'states', 'anyone']",2,2,states anyone,much unrest states anyone,4
1462715223909221,ATTENTION BUSINESS OWNERS AND ALL THE MASKED PEOPLE!! THE SEVERITY OF THIS VIRUS IS A HOAX! THE VIRUS IS REAL!  NUMBERS ARE NOT! GO LIVE YOUR LIVES! BE YOURSELF! AMERICA IS FREE!,attention business owners masked people severity virus hoax virus real numbers go live lives america free,"['attention', 'business', 'owners', 'masked', 'people', 'severity', 'virus', 'hoax', 'virus', 'real', 'numbers', 'go', 'live', 'lives', 'america', 'free']","['attention', 'business', 'owners', 'people', 'severity', 'hoax', 'virus', 'numbers', 'lives']","['attention', 'business', 'owners', 'people', 'severity', 'hoax', 'virus', 'real', 'numbers', 'live', 'lives', 'free']",4,6,attention business owners people severity hoax virus numbers lives,attention business owners people severity hoax virus real numbers live lives free,3
1461150450732365,"This is whats wrong with attention seeking millenials. This young woman is named Brittany Geco. She repeatedly went to the hospital after testing positive for COVID 19. She was repeatedly sent home because 27 year olds rarely have complications, she had no symptoms the hospital was even interested in wasting a bed on her. Yet, she went back again and again, all the while taking selfies in masks and reaching out to news outlets to talk about how bad it was and dangerous it was. There is something sick about the satisfaction certain people have in dramatizing this. ",whats wrong attention seeking millenials young woman named brittany geco repeatedly went hospital testing positive covid repeatedly sent home year olds rarely complications symptoms hospital even interested wasting bed yet went back taking selfies masks reaching news outlets talk bad dangerous something sick satisfaction certain people dramatizing,"['whats', 'wrong', 'attention', 'seeking', 'millenials', 'young', 'woman', 'named', 'brittany', 'geco', 'repeatedly', 'went', 'hospital', 'testing', 'positive', 'covid', 'repeatedly', 'sent', 'home', 'year', 'olds', 'rarely', 'complications', 'symptoms', 'hospital', 'even', 'interested', 'wasting', 'bed', 'yet', 'went', 'back', 'taking', 'selfies', 'masks', 'reaching', 'news', 'outlets', 'talk', 'bad', 'dangerous', 'something', 'sick', 'satisfaction', 'certain', 'people', 'dramatizing']","['whats', 'attention', 'millenials', 'woman', 'geco', 'covid', 'home', 'year', 'olds', 'complications', 'wasting', 'bed', 'selfies', 'masks', 'news', 'outlets', 'something', 'satisfaction', 'people']","['whats', 'wrong', 'attention', 'millenials', 'young', 'woman', 'brittany', 'geco', 'hospital', 'positive', 'covid', 'home', 'year', 'olds', 'complications', 'hospital', 'interested', 'wasting', 'bed', 'selfies', 'masks', 'news', 'outlets', 'bad', 'dangerous', 'something', 'sick', 'satisfaction', 'certain', 'people']",4,3,whats attention millenials woman geco covid home year olds complications wasting bed selfies masks news outlets something satisfaction people,whats wrong attention millenials young woman brittany geco hospital positive covid home year olds complications hospital interested wasting bed selfies masks news outlets bad dangerous something sick satisfaction certain people,3
1462158127298264,Upset Californian Conservative,upset californian conservative,"['upset', 'californian', 'conservative']",[],"['upset', 'californian', 'conservative']",0,0,,upset californian conservative,2
1462708023909941,Live Stream. CREW dragon launch.,live stream crew dragon launch,"['live', 'stream', 'crew', 'dragon', 'launch']","['stream', 'crew', 'dragon', 'launch']","['live', 'stream', 'crew', 'dragon', 'launch']",2,2,stream crew dragon launch,live stream crew dragon launch,2
1462680527246024,ATTENTION ALL SHEEP ,attention sheep,"['attention', 'sheep']","['attention', 'sheep']","['attention', 'sheep']",7,1,attention sheep,attention sheep,0
1462711883909555,https://www.youtube.com/watch?feature=emb_share&v=21X5lGlDOfg&fbclid=IwAR1lwNLHc5Va2Be_vLwSEdNiQP3lKc9KZO3Ci8vXnZ4MmVO74eMWQT-lR8E&app=desktop,https www youtube com watch feature emb share v x lgldofg fbclid iwar lwnlhc va vlwsedniqp lkc kzo ci vxnz mmvo emwqt lr e app desktop,"['https', 'www', 'youtube', 'com', 'watch', 'feature', 'emb', 'share', 'v', 'x', 'lgldofg', 'fbclid', 'iwar', 'lwnlhc', 'va', 'vlwsedniqp', 'lkc', 'kzo', 'ci', 'vxnz', 'mmvo', 'emwqt', 'lr', 'e', 'app', 'desktop']","['https', 'www', 'youtube', 'com', 'watch', 'feature', 'share', 'x', 'lgldofg', 'lwnlhc', 'va', 'vlwsedniqp', 'lkc', 'kzo', 'ci', 'vxnz', 'mmvo', 'emwqt', 'lr', 'e', 'desktop']","['https', 'www', 'youtube', 'com', 'watch', 'feature', 'share', 'v', 'x', 'lgldofg', 'fbclid', 'iwar', 'lwnlhc', 'va', 'vlwsedniqp', 'lkc', 'kzo', 'ci', 'vxnz', 'mmvo', 'emwqt', 'lr', 'e', 'desktop']",1,1,https www youtube com watch feature share x lgldofg lwnlhc va vlwsedniqp lkc kzo ci vxnz mmvo emwqt lr e desktop,https www youtube com watch feature share v x lgldofg fbclid iwar lwnlhc va vlwsedniqp lkc kzo ci vxnz mmvo emwqt lr e desktop,3
1461792490668161,"CA’s Newsom Opens Churches 25%, But No Singing Allowed",ca newsom opens churches singing allowed,"['ca', 'newsom', 'opens', 'churches', 'singing', 'allowed']","['opens', 'churches']","['opens', 'churches']",2,2,opens churches,opens churches,4
1461879837326093,"It was an epic failure shutting down the economy of this nation over the biggest media hoax ever. The COVID-19 virus was never anywhere near the doom pushed by the so named experts and the media frenzy. We were plunged into utter chaos over this virus, but it was the shutdown and the actions of the governors that caused the damage. Toss the apocalyptic media into the mix and it's the end of the world.       So now all the nefarious participants in this false flag are walking back their part. The experts are changing their predictions. The governors are scrambling to find some way to shift their criminal decisions away from themselves. We as citizens are angry that our lives were turned upside down. This anger is going to boil over. We The People are sick of it!",epic failure shutting economy nation biggest media hoax ever covid virus never anywhere near doom pushed named experts media frenzy plunged utter chaos virus shutdown actions governors caused damage toss apocalyptic media mix end world nefarious participants false flag walking back part experts changing predictions governors scrambling find way shift criminal decisions away citizens angry lives turned upside anger going boil people sick,"['epic', 'failure', 'shutting', 'economy', 'nation', 'biggest', 'media', 'hoax', 'ever', 'covid', 'virus', 'never', 'anywhere', 'near', 'doom', 'pushed', 'named', 'experts', 'media', 'frenzy', 'plunged', 'utter', 'chaos', 'virus', 'shutdown', 'actions', 'governors', 'caused', 'damage', 'toss', 'apocalyptic', 'media', 'mix', 'end', 'world', 'nefarious', 'participants', 'false', 'flag', 'walking', 'back', 'part', 'experts', 'changing', 'predictions', 'governors', 'scrambling', 'find', 'way', 'shift', 'criminal', 'decisions', 'away', 'citizens', 'angry', 'lives', 'turned', 'upside', 'anger', 'going', 'boil', 'people', 'sick']","['failure', 'economy', 'nation', 'media', 'virus', 'doom', 'experts', 'media', 'chaos', 'virus', 'actions', 'governors', 'damage', 'toss', 'media', 'world', 'participants', 'flag', 'part', 'experts', 'predictions', 'governors', 'way', 'decisions', 'citizens', 'lives', 'anger', 'boil', 'people']","['epic', 'failure', 'economy', 'nation', 'biggest', 'media', 'covid', 'virus', 'doom', 'experts', 'media', 'utter', 'chaos', 'virus', 'shutdown', 'actions', 'governors', 'damage', 'toss', 'apocalyptic', 'media', 'mix', 'world', 'nefarious', 'participants', 'false', 'flag', 'part', 'experts', 'predictions', 'governors', 'way', 'shift', 'criminal', 'decisions', 'citizens', 'angry', 'lives', 'upside', 'anger', 'boil', 'people']",6,3,failure economy nation media virus doom experts media chaos virus actions governors damage toss media world participants flag part experts predictions governors way decisions citizens lives anger boil people,epic failure economy nation biggest media covid virus doom experts media utter chaos virus shutdown actions governors damage toss apocalyptic media mix world nefarious participants false flag part experts predictions governors way shift criminal decisions citizens angry lives upside anger boil people,4
1462478850599525,"One rule for them, another for the rest of us!",one rule another rest us,"['one', 'rule', 'another', 'rest', 'us']","['rule', 'rest']","['rule', 'rest']",10,3,rule rest,rule rest,3
